cgpa,branch,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,placed,company_type,job_role,salary_lpa
6.87,1,1,1,1,0,0,15.6,4.3,92.0,1,3,0,62.6,2,1,0,2,63.55
6.52,1,2,1,0,0,1,13.9,5.8,62.0,1,6,0,77.5,2,1,0,1,75.17
5.33,4,1,1,1,1,0,9.8,8.1,66.4,0,5,1,76.0,3,1,0,2,80.44
6.04,1,3,1,0,1,0,39.5,9.6,83.6,0,6,0,74.3,2,1,0,2,72.11
6.78,5,2,0,1,0,1,7.5,9.9,86.3,0,3,0,66.8,2,1,1,2,67.05
9.57,0,1,1,0,0,0,66.9,8.0,75.5,0,3,0,45.2,1,1,2,1,48.75
8.85,4,3,1,1,0,0,10.8,4.2,78.2,0,4,2,50.1,2,0,0,3,0.0
8.78,5,1,0,0,0,0,93.0,8.8,78.0,2,4,0,65.6,0,1,2,1,43.16
6.78,1,3,1,0,0,0,35.3,5.8,49.9,1,6,0,63.6,1,1,2,3,47.32
7.59,4,2,1,0,1,1,25.2,7.0,58.1,0,1,0,60.8,3,1,0,0,73.21
8.4,0,1,1,0,0,0,8.1,6.2,54.5,2,5,0,74.9,1,1,2,3,40.65
6.6,2,2,0,0,0,1,1.7,7.1,53.6,1,4,2,60.3,1,0,0,3,0.0
9.19,4,1,1,1,0,0,69.6,5.4,50.5,3,4,0,83.6,2,1,1,0,75.04
6.7,0,1,0,1,1,1,78.0,7.9,45.0,0,6,0,84.5,3,1,0,3,92.84
6.53,0,2,1,0,1,0,1.8,7.0,50.7,1,3,0,66.7,2,0,0,3,0.0
6.84,2,3,0,0,1,0,89.2,7.8,87.7,1,4,0,67.0,1,1,2,0,46.64
8.84,0,3,0,1,0,0,88.3,8.5,97.2,0,6,2,70.1,1,1,2,3,43.27
9.26,5,1,0,0,0,1,69.6,7.4,45.8,1,6,0,69.7,1,1,2,3,45.96
5.68,0,3,1,1,0,0,25.6,7.7,44.9,0,4,1,64.6,2,0,0,3,0.0
8.98,2,3,1,0,0,0,57.8,4.2,67.9,1,5,1,61.2,1,0,0,3,0.0
5.19,5,2,0,1,0,1,27.2,9.8,67.4,2,4,0,91.4,2,1,0,1,92.32
5.21,1,1,1,0,1,0,18.4,4.5,65.7,1,1,0,45.1,2,1,0,2,76.08
6.4,1,1,1,1,0,1,42.0,5.5,61.4,2,1,0,67.4,3,1,0,0,90.61
5.09,0,1,1,1,0,0,65.0,4.3,96.9,2,4,0,74.2,2,1,1,2,62.0
5.35,3,2,1,0,0,1,57.5,6.3,78.6,1,3,1,65.2,2,1,1,3,51.4
6.07,1,2,1,0,0,0,65.6,6.3,80.9,0,3,0,40.1,1,1,2,1,45.65
8.68,2,2,1,0,0,1,80.7,9.9,64.8,1,6,0,87.1,2,1,1,1,57.53
7.67,1,2,1,0,0,0,5.3,9.8,90.8,1,4,2,73.9,1,1,2,2,45.08
6.47,5,3,0,1,1,1,79.0,4.5,69.7,0,2,0,57.4,3,1,0,1,70.13
8.09,5,3,0,0,1,0,82.2,8.2,44.9,0,3,0,53.2,1,1,2,1,44.02
7.96,4,2,1,1,0,0,70.5,5.5,59.8,1,5,0,71.2,2,1,0,3,70.16
8.73,2,3,1,1,0,0,86.9,5.3,97.8,0,5,0,64.8,2,1,1,1,51.69
9.85,1,2,1,1,0,0,62.8,7.5,94.1,0,4,2,58.1,2,1,0,2,73.36
8.23,4,1,1,0,0,0,26.0,6.7,41.9,0,5,1,56.9,1,0,0,3,0.0
9.55,2,2,1,1,1,1,41.8,9.6,92.0,0,1,1,73.6,4,1,0,0,89.39
9.15,0,1,1,0,0,0,1.4,4.5,81.5,1,5,3,59.1,1,0,0,3,0.0
9.72,5,3,1,0,0,0,95.4,7.6,53.7,1,2,0,48.9,1,1,2,0,48.98
